experiment,model,Top1,Top3,Top5,repeat_sanskrit,repeat_index,use_long,rerank
TFIDF_NO_LONG,tfidf,0.9722222222222222,0.9930555555555556,0.9930555555555556,True,True,False,True
TFIDF_FULL,tfidf,0.9166666666666666,0.9444444444444444,0.9652777777777778,True,True,True,True
TFIDF_NO_RERANK,tfidf,0.9166666666666666,0.9444444444444444,0.9652777777777778,True,True,True,False
TFIDF_NO_INDEX,tfidf,0.9027777777777778,0.9166666666666666,0.9375,True,False,True,True
TFIDF_NO_SANSKRIT,tfidf,0.8472222222222222,0.9027777777777778,0.9166666666666666,False,True,True,True
BM25_NO_LONG,bm25,0.3958333333333333,0.5138888888888888,0.5277777777777778,True,True,False,True
BM25_FULL,bm25,0.3263888888888889,0.4444444444444444,0.5347222222222222,True,True,True,True
BM25_NO_RERANK,bm25,0.3263888888888889,0.4444444444444444,0.5347222222222222,True,True,True,False
BM25_NO_INDEX,bm25,0.2777777777777778,0.4305555555555556,0.5694444444444444,True,False,True,True
BERT_FULL,bert,0.08333333333333333,0.13194444444444445,0.14583333333333334,True,True,True,False
BM25_NO_SANSKRIT,bm25,0.06944444444444445,0.2708333333333333,0.4583333333333333,False,True,True,True
BERT_NO_LONG,bert,0.027777777777777776,0.04861111111111111,0.06944444444444445,True,True,False,False
