algorithm,namc_code,true_tm2_code,query_text,query_sanskrit_term,top1_correct,top5_hit,true_rank,rank,pred_tm2_code,pred_tm2_title,pred_tm2_index_terms,pred_score,pred_tag,pred_correct,pred_exact_sanskrit_match,query_token_overlap,query_vs_pred_sans_overlap
TFIDF,AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,True,True,1.0,1,SR10,Vitiation of vāta pattern (TM2),Vitiation of vāta pattern (TM2); (a) vātaprakopaḥ,0.9999999943330837,Equivalent,True,True,3,2
TFIDF,AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,True,True,1.0,2,SR12,Aggravation of vata pattern (TM2),Aggravation of vata pattern (TM2); (a) vātavṛddhiḥ; Increased vāta (TM2),0.4114818487485455,Related,False,False,4,1
TFIDF,AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,True,True,1.0,3,SR1C,Aggravation of kapha pattern (TM2),Aggravation of kapha pattern (TM2); (a) kaphavṛddhiḥ; Increased kapha (TM2),0.4020067531016306,Related,False,False,4,1
TFIDF,AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,True,True,1.0,4,SR17,Aggravation of pitta pattern (TM2),Aggravation of pitta pattern (TM2); (a) pittavṛddhiḥ; Increased pitta (TM2),0.4017173676057908,Related,False,False,4,1
TFIDF,AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,True,True,1.0,5,SP4Y,"Other specified bone, joint and muscle disorders (TM2)","Other specified bone, joint and muscle disorders (TM2); Aggravation of Vata disorder causing pain in the nape of the neck, anal canal and penis (TM2); (b) Mūṭu vātam; Increased Vaḷi and scolisis with odema disorder (TM2); (b) Ākuṉivātam; Vaḷi with scoliatic features disorder (TM2); (b) Kūṉi vātam; Inflammation and numbness in the body below the head disorder (TM2); (b) Pēy vātam; Aggravation of Vaḷi and Aẕal disorder causing inflammation of cervix and ovary (TM2); (b) Aṣṭacūlai vātam; Plantar fasciitis disorder (TM2); (b) Talastampam; Pricking pain in the palm and sole disorder (TM2); (b) Kaṟai cūlai; Peripheral neuritis due to DM disorder (TM2); Karastampam; Atrophy of arm disorder (TM2); (a) bāhuśoṣaḥ; Leg pain disorder (TM2); (a) pādaśūlaḥ; Distention of inguinal region disorder (TM2); (a) vaṅkṣaṇānāhaḥ; Jaw pain disorder (TM2); (a) hanubhedaḥ; Foot weakness disorder (TM2); (c) za'fe rejl; (c) Ḍu‘f al-Rijl; Back coldness disorder (TM2); (c) Burūdat-i-Ẓahr; (c) boroudat-e zahr",0.3145749629866487,Related,False,False,8,1
TFIDF,AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,True,True,1.0,1,SQ05,"Lack of concentration, confusion disorder (TM2)","Lack of concentration, confusion disorder (TM2); (a) anavasthitacittatvam (c) Ikhtlāṭ al-Dhahn; (c) ekhtelAt-e zehn",0.9999999946560281,Equivalent,True,True,3,2
TFIDF,AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,True,True,1.0,2,SR14,Depletion of vata pattern (TM2),Depletion of vata pattern (TM2); (a) vātakṣayaḥ,0.38093524489223507,Related,False,False,3,1
TFIDF,AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,True,True,1.0,3,SR11,Accumulation of Vata pattern (TM2),Accumulation of Vata pattern (TM2); (a) vātasañcayaḥ,0.3772887160102588,Related,False,False,3,1
TFIDF,AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,True,True,1.0,4,SR13,Spreading of vata pattern (TM2),Spreading of vata pattern (TM2); (a) vātaprasaraḥ,0.36881525942181326,Related,False,False,3,1
TFIDF,AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,True,True,1.0,5,SR1A,Vitiation of kapha pattern (TM2),Vitiation of kapha pattern (TM2); (a) kaphaprakopaḥ,0.34906519197055697,Related,False,False,3,1
