query_sanskrit_term,num_unique_predictions,num_models,error_count
(a) bhedaḥ,3,6,6
(a) carmadala-kuṣṭhaḥ,3,6,6
(a) vātaraktam,3,6,6
(a) karṇa-pratināhaḥ,3,5,5
(a) kṣavathuvegarodhaḥ,3,5,5
(a) kaphaja-arśaḥ,3,4,4
(a) raktaja-arśaḥ (a) ārdra-arśaḥ,3,4,4
(a) galagrahaḥ,3,3,3
(a) sarvasara mukharogaḥ,3,3,3
(a) akālaśayanam,2,4,4
(a) akṣipākaḥ,2,4,4
(a) alāsaḥ,2,4,4
(a) amlakaḥ,2,4,4
(a) anuśayī,2,4,4
(a) atyānandā,2,4,4
(a) aṅgamardaḥ,2,4,4
(a) bahalavartma,2,4,4
(a) bāhuśoṣaḥ,2,4,4
(a) carmakuṣṭhaḥ,2,4,4
(a) dantaśaithilyam,2,4,4
(a) divāsvapna-upadravaḥ,2,4,4
(a) gambhīrā-dṛṣṭiḥ,2,4,4
(a) halīmaka,2,4,4
(a) hanubhedaḥ,2,4,4
(a) hāridramehaḥ,2,4,4
(a) jānuviśleṣaḥ,2,4,4
(a) jāṅgalamāṃsātyupayogaḥ,2,4,4
(a) kalāyakhañjaḥ,2,4,4
(a) kaphapittajajvaraḥ,2,4,4
(a) kapālavidradhiḥ,2,4,4
(a) karālaḥ,2,4,4
(a) lavaṇamehaḥ,2,4,4
(a) nakulāndhyam,2,4,4
(a) nyacchaḥ,2,4,4
(a) nābhija-arśaḥ,2,4,4
(a) nīlamehaḥ,2,4,4
(a) pittajakarṇarogaḥ,2,4,4
(a) piṣṭamehaḥ,2,4,4
(a) sahaja-arśaḥ,2,4,4
(a) sannipātajajvaraḥ,2,4,4
(a) saṅkocaḥ,2,4,4
(a) sidhmaḥ,2,4,4
(a) sirāśukraḥ,2,4,4
(a) staimityam,2,4,4
(a) surāmehaḥ,2,4,4
(a) trikagrahaḥ,2,4,4
(a) upanāhaḥ,2,4,4
(a) utpātaḥ,2,4,4
(a) utsaṅginī,2,4,4
(a) valmīkaḥ,2,4,4
(a) varāhadaṃṣṭrakaḥ,2,4,4
(a) vaṅkṣaṇānāhaḥ,2,4,4
(a) vidārikā,2,4,4
(a) vraṇa-upadravaḥ,2,4,4
(a) vācālatā,2,4,4
(a) vāmanatvam,2,4,4
(a) vātaja-arśaḥ (a) śuṣka-arśaḥ,2,4,4
(a) vātajakarṇarogaḥ (a) vātajakarṇaśūla,2,4,4
(a) vātajapramehaḥ,2,4,4
(a) vātaparyāyaḥ,2,4,4
(a) āmaśophachedaḥ,2,4,4
(a) śaityam,2,4,4
(a) śanairmehaḥ,2,4,4
(a) śramaḥ,2,4,4
(a) śukrakṣayaḥ,2,4,4
(a) śyāvapiṇḍikā,2,4,4
(a) śākhāśrita-kāmalā,2,4,4
(a) ūṣmādhikyam,2,4,4
(a)pratamakaśvāsaḥ,2,4,4
"(a) ahipūtanā, (a) ahipūtanakaḥ",2,3,3
(a) amlādhyuṣitaḥ (a) amloṣita,2,3,3
(a) annāvṛtavātaḥ,2,3,3
(a) antarāyāmaḥ,2,3,3
(a) asthikṣayaḥ,2,3,3
(a) asthiprabhedaḥ,2,3,3
(a) aśruvegarodhaḥ,2,3,3
(a) aṇḍa-vṛddhiḥ,2,3,3
(a) baddhagudodaraḥ,2,3,3
(a) daṇḍakaḥ,2,3,3
(a) daṇḍāpatānakaḥ,2,3,3
(a) dhātugatakuṣṭhaḥ,2,3,3
"(a) dhūmakaḥ, (a) dhūmodgāraḥ",2,3,3
(a) dīptaḥ,2,3,3
(a) ghrāṇapākaḥ (a) nāsāpākaḥ,2,3,3
(a) hrasvakeśaḥ,2,3,3
(a) hṛddravaḥ,2,3,3
(a) jālagardabhaḥ,2,3,3
(a) karṇārbudaḥ,2,3,3
(a) kaṇḍūḥ,2,3,3
(a) koṣṭhāśrita-kāmalā,2,3,3
(a) kṛmigranthiḥ,2,3,3
