Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term
1,1,SID,Siddha,சித்தா,Siddha,,,siddha siddha siddha siddha சித்தா சித்தா சித்தா சித்தா siddha siddha siddha,siddha
2,2,DIS,Disorder,நோய்,Disorder,,,disorder disorder disorder disorder நோய் நோய் நோய் நோய் disorder disorder disorder,disorder
3,3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Metabolic disorders,,,vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ vaḷarcitai māṟṟa nōykaḷ வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் வளர்சிதை மாற்ற நோய்கள் metabolic disorders metabolic disorders metabolic disorders,vaḷarcitai māṟṟa nōykaḷ
4,4,AA,Kallīral Nōy,கல்லீரல் நோய்,Hepatic disease,,,kallīral nōy kallīral nōy kallīral nōy kallīral nōy கல்லீரல் நோய் கல்லீரல் நோய் கல்லீரல் நோய் கல்லீரல் நோய் hepatic disease hepatic disease hepatic disease,kallīral nōy
5,5,AAA,Vaḷi,வளி,Hepatic disease classified under vali humour,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி hepatic disease classified under vali humour hepatic disease classified under vali humour hepatic disease classified under vali humour,vaḷi
6,6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,"Hepatomegaly due to vali, if chronic leads to anaemia","It is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. It is explaine","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 338-339","vaḷi kallīral nōy vaḷi kallīral nōy vaḷi kallīral nōy vaḷi kallīral nōy வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் வளி கல்லீரல் நோய் hepatomegaly due to vali, if chronic leads to anaemia hepatomegaly due to vali, if chronic leads to anaemia hepatomegaly due to vali, if chronic leads to anaemia it is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. it is explaine k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 338-339",vaḷi kallīral nōy
7,7,AAB,Aẕal,அழல்,Hepatic disease classified under azhal humour,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் hepatic disease classified under azhal humour hepatic disease classified under azhal humour hepatic disease classified under azhal humour,aẕal
8,8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,"Hepatomegaly due to azhal, if chronic leads to ascites","It is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. It is explained by increased Aẕal influencing iyam and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339","aẕal kallīral nōy aẕal kallīral nōy aẕal kallīral nōy aẕal kallīral nōy அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் அழல் கல்லீரல் நோய் hepatomegaly due to azhal, if chronic leads to ascites hepatomegaly due to azhal, if chronic leads to ascites hepatomegaly due to azhal, if chronic leads to ascites it is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. it is explained by increased aẕal influencing iyam and vali. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ and koẕuppu gets affect k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 339",aẕal kallīral nōy
9,9,AAC,Aiyam,ஐயம்,Hepatic disease classified under iya humour,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் hepatic disease classified under iya humour hepatic disease classified under iya humour hepatic disease classified under iya humour,aiyam
10,10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,"Hepatomegaly due to aiyam, and nodular liver on palpation","It is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. It is explained by increased Aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . Among the seven Uṭaṟ","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339","aiya kallīral nōy aiya kallīral nōy aiya kallīral nōy aiya kallīral nōy ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் ஐய கல்லீரல் நோய் hepatomegaly due to aiyam, and nodular liver on palpation hepatomegaly due to aiyam, and nodular liver on palpation hepatomegaly due to aiyam, and nodular liver on palpation it is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. it is explained by increased aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . among the seven uṭaṟ k. n. kuppusamy mudaliar (2007). siddha maruthuvam - pothu (7th ed.)chennai; department of indian medicine & homeopathy, page no: 339",aiya kallīral nōy
