namc_code,namc_term_diacritical,query,label
AYU,vyādhi-viniścayaḥ,vyādhi-viniścayaḥ vyādhi-viniścayaḥ - -,diagnostic conditions
DIS,vikāraḥ,vikāraḥ vikāraḥ - -,disease/disorder
A,dōṣavaiṣamyam,dōṣavaiṣamyam dōṣavaiṣamyam - -,derangement of dōṣa
AA,vātavyādhiḥ,vātavyādhiḥ vātavyādhiḥ - -,disorders due to vāta
AAA,dōṣāvasthā (vāta),dōṣāvasthā (vāta) dōṣāvasthā (vāta) - -,morbid state of dōṣa
AAA-1,(a) vātasañcayaḥ,"(a) vātasañcayaḥ (a) vātasañcayaḥ It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation. -",Accumulation of Vata pattern (TM2)
AAA-2,(a) vātavṛddhiḥ,"(a) vātavṛddhiḥ (a) vātavṛddhiḥ It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications. -",Aggravation of vata pattern (TM2)
AAA-2.1,(a) vātaprakopaḥ,(a) vātaprakopaḥ (a) vātaprakopaḥ It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity. -,Vitiation of vāta pattern (TM2)
AAA-2.1,(a) vātaprakopaḥ,(a) vātaprakopaḥ (a) vātaprakopaḥ It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity. -,Vitiation of vāta pattern (TM2)
AAA-2.2,prāṇavātakōpaḥ,"prāṇavātakōpaḥ prāṇavātakōpaḥ the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough] -",vitiated prāṇavāyu
AAA-2.3,udānavātakōpaḥ,"udānavātakōpaḥ udānavātakōpaḥ the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck] -",vitiated udānavāyu
AAA-2.4,vyānavātakōpaḥ,"vyānavātakōpaḥ vyānavātakōpaḥ the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body] -",vitiated vyānavāyu
AAA-2.5,samānavātakōpaḥ,"samānavātakōpaḥ samānavātakōpaḥ the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya] -",vitiated samānavāyu
AAA-2.6,apānavātakōpaḥ,"apānavātakōpaḥ apānavātakōpaḥ the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse] -",vitiated apānavāyu
AAA-3,(a) vātaprasaraḥ,"(a) vātaprasaraḥ (a) vātaprasaraḥ It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body. -",Spreading of vata pattern (TM2)
AAA-4,(a) vātakṣayaḥ,"(a) vātakṣayaḥ (a) vātakṣayaḥ It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications. -",Depletion of vata pattern (TM2)
AAB,nānātmajavātavikāraḥ,nānātmajavātavikāraḥ nānātmajavātavikāraḥ - -,diseases due only to vitiated vāta
AAB-1,(a) atipralāpaḥ (a) pralāpakaḥ,"(a) atipralāpaḥ (a) pralāpakaḥ (a) atipralāpaḥ (a) pralāpakaḥ It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties. -",Delirium disorder (TM2)
AAB-2,(a) anavasthitacittatvam,"(a) anavasthitacittatvam (a) anavasthitacittatvam It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind. -","Lack of concentration, confusion disorder (TM2)"
AAB-3,(a) aṅgamardaḥ,(a) aṅgamardaḥ (a) aṅgamardaḥ - -,Generalized body ache disorder (TM2) ⇒
AAB-4,(a) aṅgaśuṣkatā,(a) aṅgaśuṣkatā (a) aṅgaśuṣkatā - -,Wasting of body part(s) disorder (TM2) ⇒
AAB-5,(a) aṅgavibhraṁśaḥ,"(a) aṅgavibhraṁśaḥ (a) aṅgavibhraṁśaḥ It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity. -",Atony disorder (TM2)
AAB-6,arditaḥ (kēvalavāta),arditaḥ (kēvalavāta) arditaḥ (kēvalavāta) - -,facial paralysis (due only to vātadōṣa)
AAB-7,(a) arasajñatā,"(a) arasajñatā (a) arasajñatā It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue. -",Ageusia disorder (TM2)
AAB-7,(a) arasajñatā,"(a) arasajñatā (a) arasajñatā It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue. -",Ageusia disorder (TM2)
AAB-8,aśabdaśravaṇam (kēvalavāta),aśabdaśravaṇam (kēvalavāta) aśabdaśravaṇam (kēvalavāta) - -,tinnitus (due only to vātadōṣa)
AAB-9,asvapnaḥ (kēvalavāta),asvapnaḥ (kēvalavāta) asvapnaḥ (kēvalavāta) - -,insomnia (due only to vātadōṣa)
AAB-10,akṣibhēdaḥ (kēvalavāta),akṣibhēdaḥ (kēvalavāta) akṣibhēdaḥ (kēvalavāta) - -,tearing pain of eye (due only to vātadōṣa)
AAB-11,akṣivyudāsaḥ (kēvalavāta),akṣivyudāsaḥ (kēvalavāta) akṣivyudāsaḥ (kēvalavāta) - -,ptosis of eye ball (due only to vātadōṣa)
AAB-12,akṣiśūlaḥ (kēvalavāta),akṣiśūlaḥ (kēvalavāta) akṣiśūlaḥ (kēvalavāta) - -,piercing type of eye pain (due only to vātadōṣa)
AAB-13,āṭōpaḥ (kēvalavāta),āṭōpaḥ (kēvalavāta) āṭōpaḥ (kēvalavāta) - -,borborygmus (due only to vātadōṣa)
AAB-14,ākṣēpakaḥ (kēvalavāta),ākṣēpakaḥ (kēvalavāta) ākṣēpakaḥ (kēvalavāta) - -,clonic convulsion (due only to vātadōṣa)
AAB-15,(a) uccaiḥśrutiḥ,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear. -",Dysacousia disorder (TM2)
AAB-15,(a) uccaiḥśrutiḥ,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear. -",Dysacousia disorder (TM2)
AAB-16,udarāvēṣṭaḥ (kēvalavāta),udarāvēṣṭaḥ (kēvalavāta) udarāvēṣṭaḥ (kēvalavāta) - -,feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa)
AAB-17,udāvartaḥ (kēvalavāta),udāvartaḥ (kēvalavāta) udāvartaḥ (kēvalavāta) - -,obstipation (due only to vātadōṣa)
AAB-18,ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta) ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta) - -,stiff thigh (due only to vātadōṣa)
AAB-19,ūrusādaḥ (kēvalavāta),ūrusādaḥ (kēvalavāta) ūrusādaḥ (kēvalavāta) - -,thigh fatigue (due only to vātadōṣa)
AAB-20,ēkāṅgarōgaḥ (kēvalavāta),ēkāṅgarōgaḥ (kēvalavāta) ēkāṅgarōgaḥ (kēvalavāta) - -,monoplegia (due only to vātadōṣa)
AAB-21,ōṣṭhabhēdaḥ (kēvalavāta),ōṣṭhabhēdaḥ (kēvalavāta) ōṣṭhabhēdaḥ (kēvalavāta) - -,cleft lip (due only to vātadōṣa)
AAB-22,(a) kaṇṭhodhvaṃsaḥ,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties. -",Hoarseness of voice disorder (TM2)
AAB-22,(a) kaṇṭhodhvaṃsaḥ,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties. -",Hoarseness of voice disorder (TM2)
AAB-23,karṇaśūlaḥ (kēvalavāta),karṇaśūlaḥ (kēvalavāta) karṇaśūlaḥ (kēvalavāta) - -,earache/otalgia (due only to vātadōṣa)
AAB-24,kampaḥ/vēpathuḥ (kēvalavāta),kampaḥ/vēpathuḥ (kēvalavāta) kampaḥ/vēpathuḥ (kēvalavāta) - -,tremor (due only to vātadōṣa)
AAB-25,(a) kaṣāyāsyatā,(a) kaṣāyāsyatā (a) kaṣāyāsyatā - -,Feeling of astringent taste disorder (TM2) ⇒
AAB-26,(a) klamaḥ,"(a) klamaḥ (a) klamaḥ It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas. -",Severe fatigue disorder (TM2)
AAB-27,(a) kārṣṇyam,(a) kārṣṇyam (a) kārṣṇyam It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha. -,Discoloration of body disorder (TM2)
AAB-28,kubjatvam (kēvalavāta),kubjatvam (kēvalavāta) kubjatvam (kēvalavāta) - -,kyphosis/captocormia (due only to vātadōṣa)
AAB-29,(a) kārśyam,"(a) kārśyam (a) kārśyam It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta. -",Emaciation disorder (TM2)
AAB-30,(a) keśabhūmisphuṭanam,(a) keśabhūmisphuṭanam (a) keśabhūmisphuṭanam It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha. -,Scaling of scalp and forehead skin disorder (TM2)
AAB-31,khañjaḥ/khañjatvam (kēvalavāta),khañjaḥ/khañjatvam (kēvalavāta) khañjaḥ/khañjatvam (kēvalavāta) - -,lameness (unilateral) (due only to vātadōṣa)
AAB-32,garbhanāśaḥ (kēvalavāta),garbhanāśaḥ (kēvalavāta) garbhanāśaḥ (kēvalavāta) - -,foetal distress/foetal death (due only to vātadōṣa)
AAB-33,(a) grīvāstambhaḥ,"(a) grīvāstambhaḥ (a) grīvāstambhaḥ It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles. -",Cervical spondylosis disorder (TM2)
AAB-34,gudabhraṁśaḥ (kēvalavāta),gudabhraṁśaḥ (kēvalavāta) gudabhraṁśaḥ (kēvalavāta) - -,rectal prolapse (due only to vātadōṣa)
