namc_code,true_tm2_code,query_text,query_sanskrit_term,tfidf_base_top1_pred,tfidf_base_top1_score,tfidf_base_top1_correct,tfidf_base_true_rank,tfidf_rerank_top1_pred,tfidf_rerank_top1_score,tfidf_rerank_top1_correct,tfidf_rerank_true_rank,tfidf_rerank_fixed,tfidf_rerank_hurt
AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,SR10,0.9999999943330837,True,1.0,SR10,1.2499999943330837,True,1,False,False
AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,SQ05,0.9999999946560281,True,1.0,SQ05,1.249999994656028,True,1,False,False
AAB-3,SP9Y,(a) aṅgamardaḥ (a) aṅgamardaḥ (a) aṅgamardaḥ (a) aṅgamardaḥ - -,(a) aṅgamardaḥ,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-7,SM1P,"(a) arasajñatā (a) arasajñatā (a) arasajñatā (a) arasajñatā - It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",(a) arasajñatā,SR4L,0.9999999941629119,False,2.0,SM1P,1.0348444116675628,True,1,True,False
AAB-40,SP1Y,(a) jānuviśleṣaḥ (a) jānuviśleṣaḥ (a) jānuviśleṣaḥ (a) jānuviśleṣaḥ - -,(a) jānuviśleṣaḥ,SP1Y,0.9999999853658539,True,1.0,SP1Y,1.2499999853658539,True,1,False,False
AAB-46,SK30,(a) daṇḍakaḥ (a) daṇḍakaḥ (a) daṇḍakaḥ (a) daṇḍakaḥ - -,(a) daṇḍakaḥ,SK30,0.9999999897884648,True,1.0,SK30,1.2499999897884648,True,1,False,False
AAB-48,SM1Y,(a) dantaśaithilyam (a) dantaśaithilyam (a) dantaśaithilyam (a) dantaśaithilyam - -,(a) dantaśaithilyam,SM1Y,0.9999999773258553,True,1.0,SM1Y,1.2499999773258552,True,1,False,False
AAB-49,SN60,"(a) nakhabhedaḥ (a) nakhabhedaḥ (a) nakhabhedaḥ (a) nakhabhedaḥ - It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",(a) nakhabhedaḥ,SN60,0.9999999953489843,True,1.0,SN60,1.2499999953489844,True,1,False,False
AAB-50,SN7Y,(a) hrasvakeśaḥ (a) hrasvakeśaḥ (a) hrasvakeśaḥ (a) hrasvakeśaḥ - -,(a) hrasvakeśaḥ,SN7Y,0.9999999906167732,True,1.0,SN7Y,1.2499999906167734,True,1,False,False
AAB-54,SK5Y,(a) pādabhraṃśaḥ (a) pādabhraṃśaḥ (a) pādabhraṃśaḥ (a) pādabhraṃśaḥ - -,(a) pādabhraṃśaḥ,SK5Y,0.9999999824651934,True,1.0,SK5Y,1.2499999824651935,True,1,False,False
AAB-64,SP4Y,(a) bāhuśoṣaḥ (a) bāhuśoṣaḥ (a) bāhuśoṣaḥ (a) bāhuśoṣaḥ - -,(a) bāhuśoṣaḥ,SP4Y,0.9999999839730909,True,1.0,SP4Y,1.2499999839730909,True,1,False,False
AAB-66,SP9Y,(a) bhedaḥ (a) bhedaḥ (a) bhedaḥ (a) bhedaḥ - -,(a) bhedaḥ,SM37,0.9999999684893084,False,2.0,SM37,0.9999999684893084,False,2,False,False
AAB-74,SM1N,"(a) mukhaśoṣaḥ (a) mukhaśoṣaḥ (a) mukhaśoṣaḥ (a) mukhaśoṣaḥ - It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.",(a) mukhaśoṣaḥ,SM1N,0.999999993384364,True,1.0,SM1N,1.249999993384364,True,1,False,False
AAB-80,SP1Y,(a) trikagrahaḥ (a) trikagrahaḥ (a) trikagrahaḥ (a) trikagrahaḥ - -,(a) trikagrahaḥ,SP1Y,0.9999999853658539,True,1.0,SP1Y,1.2499999853658539,True,1,False,False
AAB-86,SP9Y,(a) vācālatā (a) vācālatā (a) vācālatā (a) vācālatā - -,(a) vācālatā,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-87,SP1Y,"(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ (a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ (a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ (a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ - -","(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ",SP1Y,0.9999999915509717,True,1.0,SP1Y,1.2499999915509719,True,1,False,False
AAB-88,SP9Y,(a) vāmanatvam (a) vāmanatvam (a) vāmanatvam (a) vāmanatvam - -,(a) vāmanatvam,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-93,SP4Y,(a) vaṅkṣaṇānāhaḥ (a) vaṅkṣaṇānāhaḥ (a) vaṅkṣaṇānāhaḥ (a) vaṅkṣaṇānāhaḥ - -,(a) vaṅkṣaṇānāhaḥ,SP4Y,0.9999999839730909,True,1.0,SP4Y,1.2499999839730909,True,1,False,False
AAB-97,SN03,"(a) śukrakṣayaḥ (a) śukrakṣayaḥ (a) śukrakṣayaḥ (a) śukrakṣayaḥ - It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.",(a) śukrakṣayaḥ,SN0Z,0.9999999952013018,False,4.0,SR4E,1.0176639142912578,False,3,False,False
AAB-100,SP9Y,(a) śaityam (a) śaityam (a) śaityam (a) śaityam - -,(a) śaityam,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-103,SP9Y,(a) saṅkocaḥ (a) saṅkocaḥ (a) saṅkocaḥ (a) saṅkocaḥ - -,(a) saṅkocaḥ,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-105,SP9Y,(a) śramaḥ (a) śramaḥ (a) śramaḥ (a) śramaḥ - -,(a) śramaḥ,SP9Y,0.9999999560751421,True,1.0,SP9Y,1.249999956075142,True,1,False,False
AAB-108,SP4Y,(a) hanubhedaḥ (a) hanubhedaḥ (a) hanubhedaḥ (a) hanubhedaḥ - -,(a) hanubhedaḥ,SP4Y,0.9999999839730909,True,1.0,SP4Y,1.2499999839730909,True,1,False,False
AAB-110,SL62,(a) hṛddravaḥ (a) hṛddravaḥ (a) hṛddravaḥ (a) hṛddravaḥ - It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.,(a) hṛddravaḥ,SR40,0.9999999916218767,False,5.0,SR40,0.9999999916218767,False,2,False,False
AAC-1,SK30,(a) antarāyāmaḥ (a) antarāyāmaḥ (a) antarāyāmaḥ (a) antarāyāmaḥ - -,(a) antarāyāmaḥ,SK30,0.9999999897884648,True,1.0,SK30,1.2499999897884648,True,1,False,False
AAC-2,SK30,(a) apatantrakaḥ (a) apatantrakaḥ (a) apatantrakaḥ (a) apatantrakaḥ - -,(a) apatantrakaḥ,SK30,0.9999999897884648,True,1.0,SK30,1.2499999897884648,True,1,False,False
AAC-5,SP0Y,(a) asthiprabhedaḥ (a) asthiprabhedaḥ (a) asthiprabhedaḥ (a) asthiprabhedaḥ - -,(a) asthiprabhedaḥ,SP0Y,0.9999999922246903,True,1.0,SP0Y,1.2499999922246903,True,1,False,False
AAC-6,SP00,"(a) asthiśoṣaḥ (a) asthiśoṣaḥ (a) asthiśoṣaḥ (a) asthiśoṣaḥ - It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha.",(a) asthiśoṣaḥ,SR1C,0.9999999928367159,False,,SR1C,0.9999999928367159,False,4,False,False
AAC-7,SN08,"(a) vātāṣṭhīlā (a) vātāṣṭhīlā (a) vātāṣṭhīlā (a) vātāṣṭhīlā - It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system.",(a) vātāṣṭhīlā,SM8Z,0.9999999952888237,False,2.0,SM8Z,0.9999999952888237,False,2,False,False
AAC-8,SP15,"(a) avabāhukaḥ (a) avabāhukaḥ (a) avabāhukaḥ (a) avabāhukaḥ - ""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region.",(a) avabāhukaḥ,SP15,0.999999995640668,True,1.0,SP15,1.249999995640668,True,1,False,False
