namc_code,namc_term_diacritical,short_definition,long_definition,icd_code,query,pred_top1,pred_top3
AYU,vyādhi-viniścayaḥ,-,-,,vyādhi viniścayaḥ vyādhi viniścayaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
DIS,vikāraḥ,-,-,,vikāraḥ vikāraḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
A,dōṣavaiṣamyam,-,-,,dōṣavaiṣamyam dōṣavaiṣamyam,ST20,"['ST20', 'SM9A', 'SM8B']"
AA,vātavyādhiḥ,-,-,,vātavyādhiḥ vātavyādhiḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAA,dōṣāvasthā (vāta),-,-,,dōṣāvasthā (vāta) dōṣāvasthā (vāta),SR10,"['SR10', 'SP54', 'SR20']"
SR11 (AAA-1),(a) vātasañcayaḥ,-,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",,"(a) vātasañcayaḥ (a) vātasañcayaḥ it is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. this may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",SR11,"['SR11', 'SR1B', 'SR16']"
SR12 (AAA-2),(a) vātavṛddhiḥ,-,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",,"(a) vātavṛddhiḥ (a) vātavṛddhiḥ it is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. this may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",SR12,"['SR12', 'SL02', 'SR62']"
SR10 (AAA-2.1),(a) vātaprakopaḥ,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,,(a) vātaprakopaḥ (a) vātaprakopaḥ it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,SR10,"['SR10', 'SR12', 'SR1C']"
SR10  (AAA-2.1),(a) vātaprakopaḥ,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,,(a) vātaprakopaḥ (a) vātaprakopaḥ it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,SR10,"['SR10', 'SR12', 'SR1C']"
AAA-2.2,prāṇavātakōpaḥ,-,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",,"prāṇavātakōpaḥ prāṇavātakōpaḥ the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",SR64,"['SR64', 'SS3D', 'SS24']"
AAA-2.3,udānavātakōpaḥ,-,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]",,"udānavātakōpaḥ udānavātakōpaḥ the disorder is characterized by kaṇṭharōdha [choking of throat stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region goitre], jatrūrdhvarōga [diseases of body above collar bone diseases of head and neck]",SL08,"['SL08', 'SM76', 'SR54']"
AAA-2.4,vyānavātakōpaḥ,-,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",,"vyānavātakōpaḥ vyānavātakōpaḥ the disorder is characterized by puṁstvabhraṁśa [decrease in virility semen], utsāhabhraṁśa [decrease lack of enthusiasm energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",SR1K,"['SR1K', 'SR1L', 'SR1J']"
AAA-2.5,samānavātakōpaḥ,-,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",,"samānavātakōpaḥ samānavātakōpaḥ the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of having origin in āmāśaya]",SS10,"['SS10', 'SS13', 'SR59']"
AAA-2.6,apānavātakōpaḥ,-,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",,"apānavātakōpaḥ apānavātakōpaḥ the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",SM55,"['SM55', 'SQ80', 'SM9A']"
SR13(AAA-3),(a) vātaprasaraḥ,-,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",,"(a) vātaprasaraḥ (a) vātaprasaraḥ it is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. this may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",SR13,"['SR13', 'SR1B', 'SR16']"
SR14 (AAA-4),(a) vātakṣayaḥ,-,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",,"(a) vātakṣayaḥ (a) vātakṣayaḥ it is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. this may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",SR14,"['SR14', 'SR1K', 'SR83']"
AAB,nānātmajavātavikāraḥ,-,-,,nānātmajavātavikāraḥ nānātmajavātavikāraḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
SQ00 (AAB-1),(a) atipralāpaḥ                       (a) pralāpakaḥ,-,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",,"(a) atipralāpaḥ (a) pralāpakaḥ (a) atipralāpaḥ (a) pralāpakaḥ it is characterised by irrelevant and irrational talk, mental confusion. this may be explained by: (a) vitiation of vata affecting motor and intellectual faculties.",SQ00,"['SQ00', 'SS30', 'SS3A']"
SQ05(AAB-2),(a) anavasthitacittatvam,-,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",,"(a) anavasthitacittatvam (a) anavasthitacittatvam it is characterised by difficulty to concentrate, fickleness, confusion. this may be explained by: (a) vitiation of vata affecting the mind.",SQ05,"['SQ05', 'SR1A', 'SR15']"
AAB-3 (SP9Y),(a) aṅgamardaḥ,-,-,,(a) aṅgamardaḥ (a) aṅgamardaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-4 (SP9Y),(a) aṅgaśuṣkatā,-,-,,(a) aṅgaśuṣkatā (a) aṅgaśuṣkatā,ST20,"['ST20', 'SM9A', 'SM8B']"
SP21 (AAB-5),(a) aṅgavibhraṁśaḥ,-,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",,"(a) aṅgavibhraṁśaḥ (a) aṅgavibhraṁśaḥ it is characterised by atony or flaccidity of the joints, muscles and body parts. this may be explained by: (a) obstructed or aggravated vata causes loss of functions, flaccidity.",SP21,"['SP21', 'SK20', 'SR13']"
AAB-6,arditaḥ (kēvalavāta),-,-,,arditaḥ (kēvalavāta) arditaḥ (kēvalavāta),SK20,"['SK20', 'ST20', 'SM92']"
SM1P (AAB-7),(a) arasajñatā,-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",,"(a) arasajñatā (a) arasajñatā it is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. this may be explained by: (a) impairment of digestive and metabolic factors affecting kapha residing on the tongue.",SR4L,"['SR4L', 'SM1P', 'SR1C']"
SM1P (AAB-7),(a) arasajñatā,-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",,"(a) arasajñatā (a) arasajñatā it is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. this may be explained by: (a) impairment of digestive and metabolic factors affecting kapha residing on the tongue.",SR4L,"['SR4L', 'SM1P', 'SR1C']"
AAB-8,aśabdaśravaṇam (kēvalavāta),-,-,,aśabdaśravaṇam (kēvalavāta) aśabdaśravaṇam (kēvalavāta),SK86,"['SK86', 'ST20', 'SM94']"
AAB-9,asvapnaḥ (kēvalavāta),-,-,,asvapnaḥ (kēvalavāta) asvapnaḥ (kēvalavāta),SQ24,"['SQ24', 'SM99', 'SM8A']"
AAB-10,akṣibhēdaḥ (kēvalavāta),-,-,,akṣibhēdaḥ (kēvalavāta) akṣibhēdaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-11,akṣivyudāsaḥ (kēvalavāta),-,-,,akṣivyudāsaḥ (kēvalavāta) akṣivyudāsaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-12,akṣiśūlaḥ (kēvalavāta),-,-,,akṣiśūlaḥ (kēvalavāta) akṣiśūlaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-13,āṭōpaḥ (kēvalavāta),-,-,,āṭōpaḥ (kēvalavāta) āṭōpaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-14,ākṣēpakaḥ (kēvalavāta),-,-,,ākṣēpakaḥ (kēvalavāta) ākṣēpakaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
SK84 (AAB-15),(a) uccaiḥśrutiḥ,-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ it is characterised by intolerance to loud sounds. this may be explained by: (a) increased vatadosha, pittadosha leading to hypersensitivity of ear.",SK84,"['SK84', 'SK80', 'SK83']"
SK84 (AAB-15),(a) uccaiḥśrutiḥ,-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ it is characterised by intolerance to loud sounds. this may be explained by: (a) increased vatadosha, pittadosha leading to hypersensitivity of ear.",SK84,"['SK84', 'SK80', 'SK83']"
AAB-16,udarāvēṣṭaḥ (kēvalavāta),-,-,,udarāvēṣṭaḥ (kēvalavāta) udarāvēṣṭaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-17,udāvartaḥ (kēvalavāta),-,-,,udāvartaḥ (kēvalavāta) udāvartaḥ (kēvalavāta),SM35,"['SM35', 'ST20', 'SM93']"
AAB-18,ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),-,-,,ūrustambhaḥ āḍhyavātaḥ (kēvalavāta) ūrustambhaḥ āḍhyavātaḥ (kēvalavāta),SK55,"['SK55', 'ST20', 'SM93']"
AAB-19,ūrusādaḥ (kēvalavāta),-,-,,ūrusādaḥ (kēvalavāta) ūrusādaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-20,ēkāṅgarōgaḥ (kēvalavāta),-,-,,ēkāṅgarōgaḥ (kēvalavāta) ēkāṅgarōgaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
AAB-21,ōṣṭhabhēdaḥ (kēvalavāta),-,-,,ōṣṭhabhēdaḥ (kēvalavāta) ōṣṭhabhēdaḥ (kēvalavāta),ST20,"['ST20', 'SM9A', 'SM8B']"
